[[-0.5911467671394348, 1.003682017326355], [-1.0590323209762573, 0.9503316879272461], [3.448732852935791, 0.9142701625823975], [2.3190572261810303, -1.1135412454605103], [0.5256436467170715, 1.0660203695297241]]
[[-0.6063990592956543, 1.015265703201294], [-1.0824179649353027, 0.9599114060401917], [3.486365556716919, 0.9219245910644531], [2.3497228622436523, -1.1325321197509766], [0.53352290391922, 1.0769819021224976]]
[[-0.6217004656791687, 1.0268945693969727], [-1.1059733629226685, 0.9696264266967773], [3.523364543914795, 0.9296139478683472], [2.3804166316986084, -1.1522048711776733], [0.5411379337310791, 1.0889567136764526]]
[[-0.6370471119880676, 1.0385669469833374], [-1.1296924352645874, 0.979473888874054], [3.5597386360168457, 0.937343955039978], [2.41113018989563, -1.1725506782531738], [0.5484972596168518, 1.1019392013549805]]
[[-0.6524366736412048, 1.0502816438674927], [-1.153569221496582, 0.9894516468048096], [3.5954952239990234, 0.9451202154159546], [2.44185471534729, -1.193562626838684], [0.5556080341339111, 1.1159261465072632]]
[[-0.6678679585456848, 1.062037706375122], [-1.1776018142700195, 0.9995573163032532], [3.630638837814331, 0.952942967414856], [2.472588539123535, -1.2152330875396729], [0.5624732971191406, 1.1309083700180054]]
[[-0.6833392977714539, 1.0738344192504883], [-1.2017861604690552, 1.0097883939743042], [3.665174961090088, 0.9608150124549866], [2.5033257007598877, -1.2375550270080566], [0.5690975189208984, 1.1468809843063354]]
[[-0.6988487243652344, 1.085670828819275], [-1.226118564605713, 1.0201419591903687], [3.6991090774536133, 0.9687389135360718], [2.53406023979187, -1.2605210542678833], [0.5754860043525696, 1.1638386249542236]]
[[-0.7143932580947876, 1.097546100616455], [-1.2505934238433838, 1.0306143760681152], [3.732447862625122, 0.9767188429832458], [2.5647833347320557, -1.284123420715332], [0.581645131111145, 1.181779146194458]]
[[-0.7299699783325195, 1.1094589233398438], [-1.275204062461853, 1.0412023067474365], [3.765197992324829, 0.9847602844238281], [2.595484495162964, -1.3083552122116089], [0.5875821709632874, 1.20070219039917]]
